Date,WHHS
10-Jan-97,3.79
17-Jan-97,4.19
24-Jan-97,2.98
31-Jan-97,2.91
7-Feb-97,2.53
14-Feb-97,2.3
21-Feb-97,1.91
28-Feb-97,1.82
7-Mar-97,1.86
14-Mar-97,1.96
21-Mar-97,1.91
28-Mar-97,1.84
4-Apr-97,1.88
11-Apr-97,1.98
18-Apr-97,2.04
25-Apr-97,2.14
2-May-97,2.15
9-May-97,2.29
16-May-97,2.22
23-May-97,2.22
30-May-97,2.28
6-Jun-97,2.17
13-Jun-97,2.16
20-Jun-97,2.22
27-Jun-97,2.27
4-Jul-97,2.15
11-Jul-97,2.15
18-Jul-97,2.24
25-Jul-97,2.2
1-Aug-97,2.22
8-Aug-97,2.37
15-Aug-97,2.53
22-Aug-97,2.54
29-Aug-97,2.58
5-Sep-97,2.77
12-Sep-97,2.76
19-Sep-97,2.85
26-Sep-97,3.08
3-Oct-97,3
10-Oct-97,2.83
17-Oct-97,2.89
24-Oct-97,3.21
31-Oct-97,3.42
7-Nov-97,3.16
14-Nov-97,3.25
21-Nov-97,2.89
28-Nov-97,2.55
5-Dec-97,2.51
12-Dec-97,2.34
19-Dec-97,2.34
26-Dec-97,2.21
2-Jan-98,2.26
9-Jan-98,2.11
16-Jan-98,2.05
23-Jan-98,2.11
30-Jan-98,2.08
6-Feb-98,2.28
13-Feb-98,2.21
20-Feb-98,2.2
27-Feb-98,2.22
6-Mar-98,2.18
13-Mar-98,2.22
20-Mar-98,2.23
27-Mar-98,2.3
3-Apr-98,2.41
10-Apr-98,2.57
17-Apr-98,2.46
24-Apr-98,2.4
1-May-98,2.23
8-May-98,2.14
15-May-98,2.2
22-May-98,2.13
29-May-98,2.09
5-Jun-98,2.1
12-Jun-98,2
19-Jun-98,2.11
26-Jun-98,2.38
3-Jul-98,2.39
10-Jul-98,2.36
17-Jul-98,2.21
24-Jul-98,2.05
31-Jul-98,1.95
7-Aug-98,1.86
14-Aug-98,1.85
21-Aug-98,1.93
28-Aug-98,1.81
4-Sep-98,1.72
11-Sep-98,1.83
18-Sep-98,2.07
25-Sep-98,2.24
2-Oct-98,2.2
9-Oct-98,1.99
16-Oct-98,1.73
23-Oct-98,1.9
30-Oct-98,1.89
6-Nov-98,2.11
13-Nov-98,2.27
20-Nov-98,2.12
27-Nov-98,2.08
4-Dec-98,1.34
11-Dec-98,1.6
18-Dec-98,1.93
25-Dec-98,1.95
1-Jan-99,1.84
8-Jan-99,2
15-Jan-99,1.81
22-Jan-99,1.81
29-Jan-99,1.76
5-Feb-99,1.79
12-Feb-99,1.81
19-Feb-99,1.79
26-Feb-99,1.7
5-Mar-99,1.69
12-Mar-99,1.87
19-Mar-99,1.75
26-Mar-99,1.79
2-Apr-99,1.92
9-Apr-99,2.04
16-Apr-99,2.12
23-Apr-99,2.18
30-Apr-99,2.3
7-May-99,2.3
14-May-99,2.24
21-May-99,2.27
28-May-99,2.23
4-Jun-99,2.34
11-Jun-99,2.37
18-Jun-99,2.27
25-Jun-99,2.25
2-Jul-99,2.29
9-Jul-99,2.21
16-Jul-99,2.14
23-Jul-99,2.29
30-Jul-99,2.58
6-Aug-99,2.63
13-Aug-99,2.75
20-Aug-99,2.8
27-Aug-99,2.98
3-Sep-99,2.69
10-Sep-99,2.7
17-Sep-99,2.58
24-Sep-99,2.42
1-Oct-99,2.46
8-Oct-99,2.45
15-Oct-99,2.67
22-Oct-99,2.92
29-Oct-99,2.94
5-Nov-99,2.75
12-Nov-99,2.39
19-Nov-99,2.24
26-Nov-99,2
3-Dec-99,2.2
10-Dec-99,2.21
17-Dec-99,2.49
24-Dec-99,2.53
31-Dec-99,2.33
7-Jan-00,2.18
14-Jan-00,2.25
21-Jan-00,2.46
28-Jan-00,2.71
4-Feb-00,2.81
11-Feb-00,2.67
18-Feb-00,2.64
25-Feb-00,2.52
3-Mar-00,2.7
10-Mar-00,2.74
17-Mar-00,2.81
24-Mar-00,2.77
31-Mar-00,2.88
7-Apr-00,2.92
14-Apr-00,3.03
21-Apr-00,3.11
28-Apr-00,3.11
5-May-00,3.15
12-May-00,3.26
19-May-00,3.56
26-May-00,4.04
2-Jun-00,4.36
9-Jun-00,4.19
16-Jun-00,4.3
23-Jun-00,4.28
30-Jun-00,4.39
7-Jul-00,4.15
14-Jul-00,4.18
21-Jul-00,3.98
28-Jul-00,3.72
4-Aug-00,4.01
11-Aug-00,4.44
18-Aug-00,4.33
25-Aug-00,4.63
1-Sep-00,4.66
8-Sep-00,4.82
15-Sep-00,5.05
22-Sep-00,5.17
29-Sep-00,5.21
6-Oct-00,5.2
13-Oct-00,5.26
20-Oct-00,5.17
27-Oct-00,4.68
3-Nov-00,4.49
10-Nov-00,4.96
17-Nov-00,5.78
24-Nov-00,6.29
1-Dec-00,6.18
8-Dec-00,8.16
15-Dec-00,8.37
22-Dec-00,9.86
29-Dec-00,9.88
5-Jan-01,9.79
12-Jan-01,9.57
19-Jan-01,7.68
26-Jan-01,7.07
2-Feb-01,6.23
9-Feb-01,5.98
16-Feb-01,5.63
23-Feb-01,5.13
2-Mar-01,5.14
9-Mar-01,5.24
16-Mar-01,5.12
23-Mar-01,5.2
30-Mar-01,5.39
6-Apr-01,5.27
13-Apr-01,5.44
20-Apr-01,5.21
27-Apr-01,4.99
4-May-01,4.56
11-May-01,4.22
18-May-01,4.31
25-May-01,4.05
1-Jun-01,3.74
8-Jun-01,3.79
15-Jun-01,3.97
22-Jun-01,3.81
29-Jun-01,3.3
6-Jul-01,3
13-Jul-01,3.19
20-Jul-01,3.07
27-Jul-01,3.08
3-Aug-01,3.21
10-Aug-01,3.09
17-Aug-01,3.18
24-Aug-01,3.04
31-Aug-01,2.45
7-Sep-01,2.34
14-Sep-01,2.4
21-Sep-01,2.15
28-Sep-01,1.9
5-Oct-01,1.96
12-Oct-01,2.21
19-Oct-01,2.42
26-Oct-01,2.86
2-Nov-01,3.06
9-Nov-01,2.72
16-Nov-01,2.16
23-Nov-01,2.18
30-Nov-01,2
7-Dec-01,1.98
14-Dec-01,2.45
21-Dec-01,2.4
28-Dec-01,2.4
4-Jan-02,2.53
11-Jan-02,2.38
18-Jan-02,2.34
25-Jan-02,2.18
1-Feb-02,2.18
8-Feb-02,2.22
15-Feb-02,2.28
22-Feb-02,2.38
1-Mar-02,2.47
8-Mar-02,2.67
15-Mar-02,2.92
22-Mar-02,3.31
29-Mar-02,3.4
5-Apr-02,3.54
12-Apr-02,3.21
19-Apr-02,3.4
26-Apr-02,3.5
3-May-02,3.65
10-May-02,3.65
17-May-02,3.57
24-May-02,3.35
31-May-02,3.24
7-Jun-02,3.24
14-Jun-02,3.11
21-Jun-02,3.26
28-Jun-02,3.43
5-Jul-02,3.18
12-Jul-02,2.96
19-Jul-02,2.9
26-Jul-02,2.97
2-Aug-02,3.01
9-Aug-02,2.78
16-Aug-02,2.99
23-Aug-02,3.28
30-Aug-02,3.33
6-Sep-02,3.21
13-Sep-02,3.3
20-Sep-02,3.71
27-Sep-02,3.8
4-Oct-02,4.17
11-Oct-02,3.85
18-Oct-02,4.14
25-Oct-02,4.22
1-Nov-02,4.23
8-Nov-02,3.88
15-Nov-02,3.86
22-Nov-02,4.25
29-Nov-02,4.25
6-Dec-02,4.31
13-Dec-02,4.64
20-Dec-02,5.12
27-Dec-02,4.96
3-Jan-03,4.85
10-Jan-03,5.03
17-Jan-03,5.37
24-Jan-03,5.91
31-Jan-03,5.68
7-Feb-03,6.11
14-Feb-03,6.08
21-Feb-03,6.33
28-Feb-03,12.03
7-Mar-03,7.8
14-Mar-03,5.94
21-Mar-03,5.18
28-Mar-03,4.99
4-Apr-03,4.91
11-Apr-03,5.15
18-Apr-03,5.5
25-Apr-03,5.51
2-May-03,5.25
9-May-03,5.57
16-May-03,6.05
23-May-03,6.02
30-May-03,5.83
6-Jun-03,6.26
13-Jun-03,5.94
20-Jun-03,5.57
27-Jun-03,5.61
4-Jul-03,5.14
11-Jul-03,5.36
18-Jul-03,5.06
25-Jul-03,4.91
1-Aug-03,4.68
8-Aug-03,4.83
15-Aug-03,5.05
22-Aug-03,5.07
29-Aug-03,5.05
5-Sep-03,4.69
12-Sep-03,4.76
19-Sep-03,4.56
26-Sep-03,4.49
3-Oct-03,4.49
10-Oct-03,4.72
17-Oct-03,4.84
24-Oct-03,4.7
31-Oct-03,4.38
7-Nov-03,4.36
14-Nov-03,4.59
21-Nov-03,4.36
28-Nov-03,4.64
5-Dec-03,5.58
12-Dec-03,6.51
19-Dec-03,6.73
26-Dec-03,5.8
2-Jan-04,5.73
9-Jan-04,6.65
16-Jan-04,5.95
23-Jan-04,6.07
30-Jan-04,5.88
6-Feb-04,5.57
13-Feb-04,5.45
20-Feb-04,5.31
27-Feb-04,5.14
5-Mar-04,5.27
12-Mar-04,5.39
19-Mar-04,5.58
26-Mar-04,5.31
2-Apr-04,5.56
9-Apr-04,5.78
16-Apr-04,5.76
23-Apr-04,5.53
30-Apr-04,5.76
7-May-04,6.1
14-May-04,6.33
21-May-04,6.33
28-May-04,6.57
4-Jun-04,6.39
11-Jun-04,6.08
18-Jun-04,6.39
25-Jun-04,6.34
2-Jul-04,6
9-Jul-04,6.13
16-Jul-04,5.88
23-Jul-04,5.86
30-Jul-04,5.91
6-Aug-04,5.66
13-Aug-04,5.55
20-Aug-04,5.34
27-Aug-04,5.23
3-Sep-04,4.84
10-Sep-04,4.56
17-Sep-04,5.04
24-Sep-04,5.44
1-Oct-04,5.73
8-Oct-04,5.92
15-Oct-04,5.61
22-Oct-04,6.7
29-Oct-04,7.38
5-Nov-04,6.92
12-Nov-04,6.12
19-Nov-04,5.81
26-Nov-04,5.16
3-Dec-04,6.61
10-Dec-04,6.08
17-Dec-04,7.03
24-Dec-04,7
31-Dec-04,6.26
7-Jan-05,5.74
14-Jan-05,6.11
21-Jan-05,6.4
28-Jan-05,6.4
4-Feb-05,6.25
11-Feb-05,6.08
18-Feb-05,6
25-Feb-05,6.13
4-Mar-05,6.62
11-Mar-05,6.82
18-Mar-05,7.09
25-Mar-05,7.15
1-Apr-05,7.22
8-Apr-05,7.49
15-Apr-05,7.11
22-Apr-05,7
29-Apr-05,6.95
6-May-05,6.58
13-May-05,6.59
20-May-05,6.42
27-May-05,6.33
3-Jun-05,6.49
10-Jun-05,7.11
17-Jun-05,7.36
24-Jun-05,7.52
1-Jul-05,7.09
8-Jul-05,7.64
15-Jul-05,7.79
22-Jul-05,7.65
29-Jul-05,7.56
5-Aug-05,8.46
12-Aug-05,9.07
19-Aug-05,9.53
26-Aug-05,9.81
2-Sep-05,11.6
9-Sep-05,11.14
16-Sep-05,10.94
23-Sep-05,13.46
7-Oct-05,13.67
14-Oct-05,13.4
21-Oct-05,13.36
28-Oct-05,13.71
4-Nov-05,10.86
11-Nov-05,9.22
18-Nov-05,10.26
25-Nov-05,10.88
2-Dec-05,11.89
9-Dec-05,14.21
16-Dec-05,14.49
23-Dec-05,13.06
30-Dec-05,9.93
6-Jan-06,9.42
13-Jan-06,8.63
20-Jan-06,8.67
27-Jan-06,8.22
3-Feb-06,8.36
10-Feb-06,7.8
17-Feb-06,7.25
24-Feb-06,7.39
3-Mar-06,6.71
10-Mar-06,6.44
17-Mar-06,7.06
24-Mar-06,7.1
31-Mar-06,7.11
7-Apr-06,6.98
14-Apr-06,6.81
21-Apr-06,7.63
28-Apr-06,7.17
5-May-06,6.61
12-May-06,6.55
19-May-06,5.92
26-May-06,5.96
2-Jun-06,6.16
9-Jun-06,6.06
16-Jun-06,6.3
23-Jun-06,6.5
30-Jun-06,5.97
7-Jul-06,5.39
14-Jul-06,5.74
21-Jul-06,6.04
28-Jul-06,6.82
4-Aug-06,8.08
11-Aug-06,7.43
18-Aug-06,6.84
25-Aug-06,7.09
1-Sep-06,6.04
8-Sep-06,5.53
15-Sep-06,5.15
22-Sep-06,4.8
29-Sep-06,4.17
6-Oct-06,4.32
13-Oct-06,5.07
20-Oct-06,6.22
27-Oct-06,7.39
3-Nov-06,7.11
10-Nov-06,7.04
17-Nov-06,7.39
24-Nov-06,7.59
1-Dec-06,7.93
8-Dec-06,7.51
15-Dec-06,7.01
22-Dec-06,6.26
29-Dec-06,5.6
5-Jan-07,5.5
12-Jan-07,6.13
19-Jan-07,6.52
26-Jan-07,7.29
2-Feb-07,7.71
9-Feb-07,8.31
16-Feb-07,8.43
23-Feb-07,7.46
2-Mar-07,7.34
9-Mar-07,7.32
16-Mar-07,6.86
23-Mar-07,6.91
30-Mar-07,7.32
6-Apr-07,7.55
13-Apr-07,7.83
20-Apr-07,7.51
27-Apr-07,7.48
4-May-07,7.68
11-May-07,7.56
18-May-07,7.74
25-May-07,7.56
1-Jun-07,7.65
8-Jun-07,7.76
15-Jun-07,7.51
22-Jun-07,7.36
29-Jun-07,6.71
6-Jul-07,6.27
13-Jul-07,6.4
20-Jul-07,6.37
27-Jul-07,5.76
3-Aug-07,6.3
10-Aug-07,6.35
17-Aug-07,7.08
24-Aug-07,5.93
31-Aug-07,5.51
7-Sep-07,5.66
14-Sep-07,6.03
21-Sep-07,6.21
28-Sep-07,6.33
5-Oct-07,6.65
12-Oct-07,6.68
19-Oct-07,7.1
26-Oct-07,6.39
2-Nov-07,6.93
9-Nov-07,6.95
16-Nov-07,7.19
23-Nov-07,6.88
30-Nov-07,7.44
7-Dec-07,7.12
14-Dec-07,7.17
21-Dec-07,7.12
28-Dec-07,6.97
4-Jan-08,7.57
11-Jan-08,7.84
18-Jan-08,8.33
25-Jan-08,7.87
1-Feb-08,8.02
8-Feb-08,7.87
15-Feb-08,8.47
22-Feb-08,8.89
29-Feb-08,9.16
7-Mar-08,9.43
14-Mar-08,9.74
21-Mar-08,9.09
28-Mar-08,9.24
4-Apr-08,9.68
11-Apr-08,9.88
18-Apr-08,10.13
25-Apr-08,10.54
2-May-08,10.75
9-May-08,11.11
16-May-08,11.36
23-May-08,11.31
30-May-08,11.67
6-Jun-08,12.29
13-Jun-08,12.59
20-Jun-08,12.88
27-Jun-08,12.89
4-Jul-08,13.2
11-Jul-08,12.3
18-Jul-08,11.3
25-Jul-08,9.93
1-Aug-08,9.15
8-Aug-08,8.71
15-Aug-08,8.1
22-Aug-08,7.9
29-Aug-08,8.16
5-Sep-08,7.54
12-Sep-08,7.69
19-Sep-08,7.91
26-Sep-08,7.74
3-Oct-08,7.3
10-Oct-08,6.68
17-Oct-08,6.68
24-Oct-08,6.75
31-Oct-08,6.44
7-Nov-08,6.76
14-Nov-08,6.68
21-Nov-08,6.67
28-Nov-08,6.61
5-Dec-08,6.44
12-Dec-08,5.68
19-Dec-08,5.72
26-Dec-08,5.41
2-Jan-09,5.64
9-Jan-09,5.88
16-Jan-09,5.42
23-Jan-09,4.8
30-Jan-09,4.74
6-Feb-09,4.81
13-Feb-09,4.72
20-Feb-09,4.34
27-Feb-09,4.15
6-Mar-09,4.23
13-Mar-09,3.89
20-Mar-09,3.8
27-Mar-09,4.06
3-Apr-09,3.62
10-Apr-09,3.61
17-Apr-09,3.53
24-Apr-09,3.45
1-May-09,3.29
8-May-09,3.78
15-May-09,4.24
22-May-09,3.79
29-May-09,3.58
5-Jun-09,3.76
12-Jun-09,3.53
19-Jun-09,4.04
26-Jun-09,3.87
3-Jul-09,3.68
10-Jul-09,3.27
17-Jul-09,3.29
24-Jul-09,3.5
31-Jul-09,3.41
7-Aug-09,3.58
14-Aug-09,3.39
21-Aug-09,3.01
28-Aug-09,2.72
4-Sep-09,2.18
11-Sep-09,2.69
18-Sep-09,3.21
25-Sep-09,3.46
2-Oct-09,3.06
9-Oct-09,3.6
16-Oct-09,3.93
23-Oct-09,4.7
30-Oct-09,4.37
6-Nov-09,4.28
13-Nov-09,3.38
20-Nov-09,3.3
27-Nov-09,3.52
4-Dec-09,4.5
11-Dec-09,5.08
18-Dec-09,5.61
25-Dec-09,5.66
1-Jan-10,5.88
8-Jan-10,6.56
15-Jan-10,5.68
22-Jan-10,5.56
29-Jan-10,5.47
5-Feb-10,5.47
12-Feb-10,5.55
19-Feb-10,5.41
26-Feb-10,4.87
5-Mar-10,4.74
12-Mar-10,4.45
19-Mar-10,4.23
26-Mar-10,4.01
